Code_secteur_D;Pop_Sum;missing
"115151";"2368.0";0
"115152";"2620.0";0
"115153";"4191.0";0
"115154";"3034.0";0
"115155";"5023.0";0
"115156";"4967.0";0
"115251";"2386.0";0
"115252";"2417.0";0
"115253";"983.0";0
"115254";"1600.0";0
"115255";"654.0";0
"115256";"2528.0";0
"115257";"1716.0";0
"115258";"1238.0";0
"115259";"802.0";0
"115260";"454.0";0
"115261";"1559.0";0
"115262";"1039.0";0
"115351";"3317.0";0
"115352";"4832.0";0
"115353";"4668.0";0
"115354";"3426.0";0
"115355";"2447.0";0
"115356";"1762.0";0
"115357";"5860.0";0
"115358";"4010.0";0
"115451";"2489.0";0
"115452";"3067.0";0
"115453";"2263.0";0
"115454";"2354.0";0
"115455";"2906.0";0
"115456";"2662.0";0
"115457";"2056.0";0
"115458";"1879.0";0
"115459";"1693.0";0
"115460";"2123.0";0
"115461";"1650.0";0
"115551";"3637.0";0
"115552";"3484.0";0
"115553";"9876.0";0
"115554";"9187.0";0
"115555";"7467.0";0
"115556";"4027.0";0
"115651";"7158.0";0
"115652";"3759.0";0
"115653";"6910.0";0
"115654";"3574.0";0
"115655";"10902.0";0
"115656";"6061.0";0
"115657";"7531.0";0
"115658";"6320.0";0
"115659";"5778.0";0
"115751";"4405.0";0
"115752";"3705.0";0
"115753";"3379.0";0
"115754";"3943.0";0
"115755";"4247.0";0
"115851";"4531.0";0
"115852";"4710.0";0
"115853";"11423.0";0
"115854";"14410.0";0
"115855";"5664.0";0
"115951";"5775.0";0
"115952";"1657.0";0
"115953";"235.0";0
"115954";"2140.0";0
"115955";"6105.0";0
"115956";"9227.0";0
"115957";"2834.0";0
"115958";"2372.0";0
"116051";"6021.0";0
"116052";"4545.0";0
"116053";"3301.0";0
"116054";"2451.0";0
"116055";"4886.0";0
"116056";"2469.0";0
"116057";"7870.0";0
"116058";"6014.0";0
"116059";"5137.0";0
"116060";"5824.0";0
"116061";"4503.0";0
"116062";"6147.0";0
"116063";"7052.0";0
"116064";"2579.0";0
"116151";"8067.0";0
"116152";"2454.0";0
"116153";"5954.0";0
"116154";"4707.0";0
"116155";"2560.0";0
"116156";"4645.0";0
"116251";"5273.0";0
"116252";"4478.0";0
"116253";"3741.0";0
"116254";"6424.0";0
"116255";"6460.0";0
"116256";"9108.0";0
"116351";"10143.0";0
"116352";"9051.0";0
"116353";"10423.0";0
"116354";"18441.0";0
"116355";"20792.0";0
"116356";"5103.0";0
"116357";"7934.0";0
"116358";"13992.0";0
"116359";"22350.0";0
"116451";"24197.0";0
"116452";"9981.0";0
"116453";"23080.0";0
"116454";"9277.0";0
"116455";"10931.0";0
"116456";"9794.0";0
"116457";"10950.0";0
"116458";"12161.0";0
"116459";"19517.0";0
"116551";"5202.0";0
"116552";"4390.0";0
"116553";"3377.0";0
"116554";"2897.0";0
"116555";"7274.0";0
"116556";"7003.0";0
"116651";"7048.0";0
"116652";"3919.0";0
"116653";"7392.0";0
"116654";"12042.0";0
"116655";"10831.0";0
